order_year,product_name,current_sales,average_sales,avg_change,py_change
2013,Long-Sleeve Logo Jersey- S,20350,10725,Above AVG,No Change
2014,Long-Sleeve Logo Jersey- S,1100,10725,Below AVG,Decrease
2013,Long-Sleeve Logo Jersey- XL,19850,10350,Above AVG,No Change
2014,Long-Sleeve Logo Jersey- XL,850,10350,Below AVG,Decrease
2012,ML Mountain Tire,30,11600,Below AVG,No Change
2013,ML Mountain Tire,32580,11600,Above AVG,Increase
2014,ML Mountain Tire,2190,11600,Below AVG,Decrease
2012,ML Road Tire,50,7708,Below AVG,No Change
2013,ML Road Tire,22275,7708,Above AVG,Increase
2014,ML Road Tire,800,7708,Below AVG,Decrease
2012,Mountain Bottle Cage,110,6780,Below AVG,No Change
2013,Mountain Bottle Cage,19530,6780,Above AVG,Increase
2014,Mountain Bottle Cage,700,6780,Below AVG,Decrease
2012,Mountain Tire Tube,15,5155,Below AVG,No Change
2013,Mountain Tire Tube,14620,5155,Above AVG,Increase
2014,Mountain Tire Tube,830,5155,Below AVG,Decrease
2011,Mountain-100 Black- 38,165375,165375,AVG,No Change
2011,Mountain-100 Black- 42,151875,151875,AVG,No Change
2011,Mountain-100 Black- 44,202500,202500,AVG,No Change
2010,Mountain-100 Black- 48,3375,96187,Below AVG,No Change
2011,Mountain-100 Black- 48,189000,96187,Above AVG,Increase
2010,Mountain-100 Silver- 38,3400,98600,Below AVG,No Change
2011,Mountain-100 Silver- 38,193800,98600,Above AVG,Increase
2011,Mountain-100 Silver- 42,142800,142800,AVG,No Change
2010,Mountain-100 Silver- 44,10200,83300,Below AVG,No Change
2011,Mountain-100 Silver- 44,156400,83300,Above AVG,Increase
2011,Mountain-100 Silver- 48,122400,122400,AVG,No Change
2011,Mountain-200 Black- 38,4098,430853,Below AVG,No Change
2012,Mountain-200 Black- 38,342921,430853,Below AVG,Increase
2013,Mountain-200 Black- 38,945540,430853,Above AVG,Increase
2012,Mountain-200 Black- 42,392343,681564,Below AVG,No Change
2013,Mountain-200 Black- 42,970785,681564,Above AVG,Increase
2011,Mountain-200 Black- 46,2049,457818,Below AVG,No Change
2012,Mountain-200 Black- 46,423570,457818,Below AVG,Increase
2013,Mountain-200 Black- 46,947835,457818,Above AVG,Increase
2012,Mountain-200 Silver- 38,371954,669697,Below AVG,No Change
2013,Mountain-200 Silver- 38,967440,669697,Above AVG,Increase
2011,Mountain-200 Silver- 42,2071,419122,Below AVG,No Change
2012,Mountain-200 Silver- 42,352817,419122,Below AVG,Increase
2013,Mountain-200 Silver- 42,902480,419122,Above AVG,Increase
2012,Mountain-200 Silver- 46,377669,649354,Below AVG,No Change
2013,Mountain-200 Silver- 46,921040,649354,Above AVG,Increase
2013,Mountain-400-W Silver- 38,113812,113812,AVG,No Change
2012,Mountain-400-W Silver- 40,769,49216,Below AVG,No Change
2013,Mountain-400-W Silver- 40,97663,49216,Above AVG,Increase
2013,Mountain-400-W Silver- 42,99201,99201,AVG,No Change
2013,Mountain-400-W Silver- 46,106122,106122,AVG,No Change
2012,Mountain-500 Black- 40,540,12960,Below AVG,No Change
2013,Mountain-500 Black- 40,25380,12960,Above AVG,Increase
2013,Mountain-500 Black- 42,26460,26460,AVG,No Change
2013,Mountain-500 Black- 44,31320,31320,AVG,No Change
2013,Mountain-500 Black- 48,30240,30240,AVG,No Change
2013,Mountain-500 Black- 52,22140,22140,AVG,No Change
2013,Mountain-500 Silver- 40,25425,25425,AVG,No Change
2013,Mountain-500 Silver- 42,25425,25425,AVG,No Change
2012,Mountain-500 Silver- 44,565,11017,Below AVG,No Change
2013,Mountain-500 Silver- 44,21470,11017,Above AVG,Increase
2013,Mountain-500 Silver- 48,28250,28250,AVG,No Change
2013,Mountain-500 Silver- 52,27120,27120,AVG,No Change
2012,Patch Kit/8 Patches,8,2126,Below AVG,No Change
2013,Patch Kit/8 Patches,6048,2126,Above AVG,Increase
2014,Patch Kit/8 Patches,322,2126,Below AVG,Decrease
2012,Racing Socks- L,18,810,Below AVG,No Change
2013,Racing Socks- L,2340,810,Above AVG,Increase
2014,Racing Socks- L,72,810,Below AVG,Decrease
2013,Racing Socks- M,2529,1341,Above AVG,No Change
2014,Racing Socks- M,153,1341,Below AVG,Decrease
2012,Road Bottle Cage,81,5133,Below AVG,No Change
2013,Road Bottle Cage,15237,5133,Above AVG,Increase
2014,Road Bottle Cage,81,5133,Below AVG,Decrease
2012,Road Tire Tube,28,3166,Below AVG,No Change
2013,Road Tire Tube,8888,3166,Above AVG,Increase
2014,Road Tire Tube,584,3166,Below AVG,Decrease
2010,Road-150 Red- 44,3578,502709,Below AVG,No Change
2011,Road-150 Red- 44,1001840,502709,Above AVG,Increase
2010,Road-150 Red- 48,7156,602893,Below AVG,No Change
2011,Road-150 Red- 48,1198630,602893,Above AVG,Increase
2010,Road-150 Red- 52,3578,540278,Below AVG,No Change
2011,Road-150 Red- 52,1076978,540278,Above AVG,Increase
2010,Road-150 Red- 56,3578,527755,Below AVG,No Change
2011,Road-150 Red- 56,1051932,527755,Above AVG,Increase
2010,Road-150 Red- 62,7156,601104,Below AVG,No Change
2011,Road-150 Red- 62,1195052,601104,Above AVG,Increase
2011,Road-250 Black- 44,6546,209461,Below AVG,No Change
2012,Road-250 Black- 44,279818,209461,Above AVG,Increase
2013,Road-250 Black- 44,342020,209461,Above AVG,Increase
2012,Road-250 Black- 48,310105,345606,Below AVG,No Change
2013,Road-250 Black- 48,381108,345606,Above AVG,Increase
2011,Road-250 Black- 52,4364,244808,Below AVG,No Change
2012,Road-250 Black- 52,378269,244808,Above AVG,Increase
2013,Road-250 Black- 52,351792,244808,Above AVG,Decrease
2011,Road-250 Black- 58,2182,207342,Below AVG,No Change
2012,Road-250 Black- 58,316912,207342,Above AVG,Increase
2013,Road-250 Black- 58,302932,207342,Above AVG,Decrease
2011,Road-250 Red- 44,4886,175896,Below AVG,No Change
2012,Road-250 Red- 44,346906,175896,Above AVG,Increase
2011,Road-250 Red- 48,7329,197883,Below AVG,No Change
2012,Road-250 Red- 48,388437,197883,Above AVG,Increase
2011,Road-250 Red- 52,2443,162459,Below AVG,No Change
2012,Road-250 Red- 52,322476,162459,Above AVG,Increase
2011,Road-250 Red- 58,6546,234222,Below AVG,No Change
2012,Road-250 Red- 58,376087,234222,Above AVG,Increase
2013,Road-250 Red- 58,320033,234222,Above AVG,Decrease
2012,Road-350-W Yellow- 40,1701,209223,Below AVG,No Change
2013,Road-350-W Yellow- 40,416745,209223,Above AVG,Increase
2012,Road-350-W Yellow- 42,5103,199867,Below AVG,No Change
2013,Road-350-W Yellow- 42,394632,199867,Above AVG,Increase
2013,Road-350-W Yellow- 44,367416,367416,AVG,No Change
2012,Road-350-W Yellow- 48,1701,197316,Below AVG,No Change
2013,Road-350-W Yellow- 48,392931,197316,Above AVG,Increase
2011,Road-550-W Yellow- 38,1000,97920,Below AVG,No Change
2012,Road-550-W Yellow- 38,71000,97920,Below AVG,Increase
2013,Road-550-W Yellow- 38,221760,97920,Above AVG,Increase
2012,Road-550-W Yellow- 40,68120,144940,Below AVG,No Change
2013,Road-550-W Yellow- 40,221760,144940,Above AVG,Increase
2011,Road-550-W Yellow- 42,1000,111480,Below AVG,No Change
2012,Road-550-W Yellow- 42,68000,111480,Below AVG,Increase
2013,Road-550-W Yellow- 42,265440,111480,Above AVG,Increase
2012,Road-550-W Yellow- 44,78120,156100,Below AVG,No Change
2013,Road-550-W Yellow- 44,234080,156100,Above AVG,Increase
2012,Road-550-W Yellow- 48,74240,141840,Below AVG,No Change
2013,Road-550-W Yellow- 48,209440,141840,Above AVG,Increase
2011,Road-650 Black- 44,14679,23782,Below AVG,No Change
2012,Road-650 Black- 44,32886,23782,Above AVG,Increase
2011,Road-650 Black- 48,11883,22776,Below AVG,No Change
2012,Road-650 Black- 48,33669,22776,Above AVG,Increase
2011,Road-650 Black- 52,23067,33457,Below AVG,No Change
2012,Road-650 Black- 52,43848,33457,Above AVG,Increase
2011,Road-650 Black- 58,12582,28998,Below AVG,No Change
2012,Road-650 Black- 58,45414,28998,Above AVG,Increase
2011,Road-650 Black- 60,19572,28578,Below AVG,No Change
2012,Road-650 Black- 60,37584,28578,Above AVG,Increase
2010,Road-650 Black- 62,699,16349,Below AVG,No Change
2011,Road-650 Black- 62,14679,16349,Below AVG,Increase
2012,Road-650 Black- 62,33669,16349,Above AVG,Increase
2011,Road-650 Red- 44,15378,27264,Below AVG,No Change
2012,Road-650 Red- 44,39150,27264,Above AVG,Increase
2011,Road-650 Red- 48,18957,33360,Below AVG,No Change
2012,Road-650 Red- 48,47763,33360,Above AVG,Increase
2010,Road-650 Red- 52,699,15361,Below AVG,No Change
2011,Road-650 Red- 52,14064,15361,Below AVG,Increase
2012,Road-650 Red- 52,31320,15361,Above AVG,Increase
2011,Road-650 Red- 58,13281,28173,Below AVG,No Change
2012,Road-650 Red- 58,43065,28173,Above AVG,Increase
2011,Road-650 Red- 60,11883,20035,Below AVG,No Change
2012,Road-650 Red- 60,28188,20035,Above AVG,Increase
2011,Road-650 Red- 62,11967,28690,Below AVG,No Change
2012,Road-650 Red- 62,45414,28690,Above AVG,Increase
2012,Road-750 Black- 44,1620,97200,Below AVG,No Change
2013,Road-750 Black- 44,192780,97200,Above AVG,Increase
2012,Road-750 Black- 48,1080,98010,Below AVG,No Change
2013,Road-750 Black- 48,194940,98010,Above AVG,Increase
2012,Road-750 Black- 52,2160,104220,Below AVG,No Change
2013,Road-750 Black- 52,206280,104220,Above AVG,Increase
2012,Road-750 Black- 58,1080,90180,Below AVG,No Change
2013,Road-750 Black- 58,179280,90180,Above AVG,Increase
2012,Short-Sleeve Classic Jersey- L,108,6732,Below AVG,No Change
2013,Short-Sleeve Classic Jersey- L,19764,6732,Above AVG,Increase
2014,Short-Sleeve Classic Jersey- L,324,6732,Below AVG,Decrease
2012,Short-Sleeve Classic Jersey- M,54,7326,Below AVG,No Change
2013,Short-Sleeve Classic Jersey- M,20790,7326,Above AVG,Increase
2014,Short-Sleeve Classic Jersey- M,1134,7326,Below AVG,Decrease
2012,Short-Sleeve Classic Jersey- S,54,7308,Below AVG,No Change
2013,Short-Sleeve Classic Jersey- S,21384,7308,Above AVG,Increase
2014,Short-Sleeve Classic Jersey- S,486,7308,Below AVG,Decrease
2013,Short-Sleeve Classic Jersey- XL,21168,11043,Above AVG,No Change
2014,Short-Sleeve Classic Jersey- XL,918,11043,Below AVG,Decrease
2012,Sport-100 Helmet- Black,210,24325,Below AVG,No Change
2013,Sport-100 Helmet- Black,69895,24325,Above AVG,Increase
2014,Sport-100 Helmet- Black,2870,24325,Below AVG,Decrease
2012,Sport-100 Helmet- Blue,350,24791,Below AVG,No Change
2013,Sport-100 Helmet- Blue,71050,24791,Above AVG,Increase
2014,Sport-100 Helmet- Blue,2975,24791,Below AVG,Decrease
2012,Sport-100 Helmet- Red,350,26016,Below AVG,No Change
2013,Sport-100 Helmet- Red,75145,26016,Above AVG,Increase
2014,Sport-100 Helmet- Red,2555,26016,Below AVG,Decrease
2012,Touring Tire,58,9038,Below AVG,No Change
2013,Touring Tire,25607,9038,Above AVG,Increase
2014,Touring Tire,1450,9038,Below AVG,Decrease
2012,Touring Tire Tube,10,2478,Below AVG,No Change
2013,Touring Tire Tube,7010,2478,Above AVG,Increase
2014,Touring Tire Tube,415,2478,Below AVG,Decrease
2012,Touring-1000 Blue- 46,4768,210984,Below AVG,No Change
2013,Touring-1000 Blue- 46,417200,210984,Above AVG,Increase
2012,Touring-1000 Blue- 50,2384,178800,Below AVG,No Change
2013,Touring-1000 Blue- 50,355216,178800,Above AVG,Increase
2013,Touring-1000 Blue- 54,381440,381440,AVG,No Change
2012,Touring-1000 Blue- 60,2384,175224,Below AVG,No Change
2013,Touring-1000 Blue- 60,348064,175224,Above AVG,Increase
2013,Touring-1000 Yellow- 46,410048,410048,AVG,No Change
2012,Touring-1000 Yellow- 50,4768,179992,Below AVG,No Change
2013,Touring-1000 Yellow- 50,355216,179992,Above AVG,Increase
2013,Touring-1000 Yellow- 54,376672,376672,AVG,No Change
2013,Touring-1000 Yellow- 60,333760,333760,AVG,No Change
2012,Touring-2000 Blue- 46,2430,58927,Below AVG,No Change
2013,Touring-2000 Blue- 46,115425,58927,Above AVG,Increase
2012,Touring-2000 Blue- 50,1215,64395,Below AVG,No Change
2013,Touring-2000 Blue- 50,127575,64395,Above AVG,Increase
2013,Touring-2000 Blue- 54,106920,106920,AVG,No Change
2012,Touring-2000 Blue- 60,1215,49207,Below AVG,No Change
2013,Touring-2000 Blue- 60,97200,49207,Above AVG,Increase
2013,Touring-3000 Blue- 44,39326,39326,AVG,No Change
2013,Touring-3000 Blue- 50,35616,35616,AVG,No Change
2012,Touring-3000 Blue- 54,742,20405,Below AVG,No Change
2013,Touring-3000 Blue- 54,40068,20405,Above AVG,Increase
2013,Touring-3000 Blue- 58,42294,42294,AVG,No Change
2013,Touring-3000 Blue- 62,47488,47488,AVG,No Change
2013,Touring-3000 Yellow- 44,43778,43778,AVG,No Change
2013,Touring-3000 Yellow- 50,43778,43778,AVG,No Change
2013,Touring-3000 Yellow- 54,35616,35616,AVG,No Change
2012,Touring-3000 Yellow- 58,1484,17437,Below AVG,No Change
2013,Touring-3000 Yellow- 58,33390,17437,Above AVG,Increase
2013,Touring-3000 Yellow- 62,37100,37100,AVG,No Change
2012,Water Bottle - 30 oz.,90,7081,Below AVG,No Change
2013,Water Bottle - 30 oz.,20425,7081,Above AVG,Increase
2014,Water Bottle - 30 oz.,730,7081,Below AVG,Decrease
2013,Women's Mountain Shorts- L,23800,12705,Above AVG,No Change
2014,Women's Mountain Shorts- L,1610,12705,Below AVG,Decrease
2013,Women's Mountain Shorts- M,23380,12320,Above AVG,No Change
2014,Women's Mountain Shorts- M,1260,12320,Below AVG,Decrease
2013,Women's Mountain Shorts- S,20230,10640,Above AVG,No Change
2014,Women's Mountain Shorts- S,1050,10640,Below AVG,Decrease
